"run_id","proportion_of_habitat"
"725965434406613D",66.667
"210598178913562C",53.102
"579694295463213E",53.102
"52107905644360B",53.359
"8813170892770C",53.359
"987583000088114E",31.241
"28026184562683A",31.241
"144813601323704B",59.296
"926549656726781B",59.296
"705339465068713E",49.145
"284519597987574D",49.145
"943996701954426C",58.545
"211166260353844A",58.545
"276806912221338E",68.4
"304298426938743D",68.4
"791800891341107B",20.649
"869527670257858A",20.649
"361441302360301B",45.11
"467700927564433D",45.11
"161346735409168B",18.499
"34027594603076B",18.499
"646123899667751E",17.242
"456310038502327C",17.242
"636077811648491B",70.347
"733419013108747B",70.347
"979977492437825C",54.38
"707895020702197B",54.38
"149448673379619A",66.067
"715964256065167A",66.067
"480591876530526D",38.966
"539241222303105B",38.966
"514697732424127D",71.973
"583857689763515E",71.973
"988684802925856A",61.377
"473405127518445A",61.377
"265115327505770B",12.212
"135779688605159E",12.212
"55159246586360A",10.826
"732173212210665D",10.826
"713520290576358C",45.411
"906457725341411B",45.411
"787577952045424D",20.947
"206401508301534A",20.947
"647268106525251E",25.835
"167319302774231A",25.835
"560364440637463E",23.283
"167700946387414E",23.283
"174879072760600E",35.262
"274577565396944B",35.262
"746009293119944E",75.701
"894180798699609C",75.701
"956492220181811D",72.511
"101946355791411B",72.511
"448124816457595D",73.728
"214130384234109C",73.728
"645397911204073B",72.602
"286961392209273B",72.602
"497308579697365E",44.905
"371293298512063E",44.905
"537163568452683E",84.154
"59617159371077D",84.154
"280638012875420A",61.258
"583029749546271D",61.258
"480223315507689C",43.848
"710412313606277B",43.848
"647221429366472E",50.393
"140425055513475C",50.393
"59193944563033D",22.243
"683280203534267D",22.243
"564401878531333D",38.426
"265524813458414D",38.426
"365865121141879A",45.899
"113067608561398E",45.899
"977367240712523D",26.717
"680273113460586A",26.717
"64736669340443C",25.549
"483324122297649E",25.549
"287398469506474E",19.406
"478460922737681B",19.406
"352071046680644E",10.153
"452547942576691A",10.153
"826077312630415D",86.345
"457123656243012A",86.345
"914582094936203C",42.288
"157726447798335B",42.288
"842321469706254A",77.4
"892767972040771C",77.4
"129178605515245C",70.051
"740264555608779A",70.051
"32699628856566A",67.864
"344105799614238D",67.864
"803819132990463A",17.857
"621119629664799C",17.857
"833301755472876B",22.575
"68550796506974C",22.575
"98774194817497E",37.162
"495367469737620A",37.162
"242378386157126B",12.897
"598950979587001D",12.897
"315136375613400D",35.403
"277740033873559C",35.403
"793751466700278A",84.071
"444048386666177C",84.071
"491093839915044B",66.514
"98169365594911D",66.514
"509115545169580C",77.931
"217852712425350B",77.931
"503622797952385C",21.681
"398878960848920A",21.681
"10652353506413C",64.774
"399729716650644A",64.774
"109596732868767D",62.225
"555404067896218D",62.225
"748478401676021D",44.706
"517046759646426E",44.706
"40220308334501E",77.073
"114760028374587C",77.073
"302453000020629C",88.072
"338259262731758B",88.072
"667301419500345B",32.108
"588489913886115C",32.108
"32127621198789B",67.453
"985640550878465C",67.453
"71611530721744B",68.069
"452517675888792D",68.069
"62743050456624D",38.544
"215034886022290D",38.544
"158848687871620E",20.011
"961549710386186C",20.011
"811155635266676D",65.029
"972383735078382E",65.029
"546673137108345C",78.112
"649255145556722C",78.112
"547370364219918E",87.053
"807742755483273B",87.053
"493596932120958B",57.386
"3545263670531E",57.386
"484620720365432B",48.488
"540883576082104C",48.488
"796005090600113E",43.948
"816485457784229B",43.948
"553880767330925D",29.629
"890823887875051E",29.629
"256549812131758A",37.717
"474497897867277D",37.717
"190739409264243B",11.211
"72927068190041C",11.211
"679897777167647D",13.23
"972239447572311C",13.23
"13450698219063A",80.79
"802319327699336B",80.79
"979542785370930C",22.449
"977094314685178D",22.449
"130370150784148B",26.853
"829912417298378D",26.853
"970743649603625A",34.135
"763023862277477C",34.135
"680889579865785E",65.912
"557283088555136B",65.912
"931720115234288C",27.151
"509839817735132C",27.151
"883136932199913B",44.977
"981282021950449D",44.977
"290177021578314A",58.08
"169385662426577E",58.08
"451481620506644B",69.594
"380366707044651D",69.594
"4878265830499C",43.63
"549510430411910C",43.63
"35170689788320B",14.189
"856853270459073E",14.189
"885526710081411B",53.154
"259344979915664C",53.154
"48035880368234C",26.952
"359580747209059D",26.952
"519032056096032E",14.276
"892891456552091E",14.276
"570696664602289B",30.496
"841395736598132B",30.496
"799056890973900C",13.573
"151849537668303B",13.573
"662939679873192B",39.588
"316674720296818A",39.588
"843558351888059B",46.884
"102314961818071E",46.884
"909270047329774E",40.987
"728115039053116D",40.987
"972259891152610C",65.109
"161886488439269B",65.109
"744600560823075D",18.265
"106590853625286E",18.265
"476125305650533A",49.698
"486488961300679B",49.698
"541706651595802D",18.134
"298118685533067A",18.134
"309531234761377E",76.051
"746078903678166D",76.051
"516676042384953A",45.965
"628819680564242B",45.965
"274916957018021D",69.441
"912022208812606A",69.441
"888816703950288D",18.937
"279437278749687A",18.937
"143888336786979B",47.937
"660496434996565D",47.937
"761854435175357A",64.613
"519703496434095A",64.613
"195064518949658A",88.515
"140474443478045A",88.515
"507165395956458C",31.471
"727532763715033D",31.471
"454081775301640C",16.106
"325447285112081D",16.106
"284646040909088E",37.066
"278568953468450C",37.066
"41461775345855D",75.126
"313233189773726B",75.126
"227219732759554D",84.855
"566532789086182D",84.855
"395107694901995C",17.538
"104459397859616A",17.538
"910763676904548C",55.017
"966731672915664E",55.017
"345970092271149E",22.024
"614159391142127B",22.024
"894976165458941A",55.979
"12970589180307E",55.979
"509802686711055D",38.939
"328509248620302E",38.939
"720127957207241C",79.918
"681157006255726B",79.918
"670155743505308A",35.088
"21353446910027A",35.088
"935844817392461D",24.738
"176296306727296D",24.738
"142715525007295B",16.806
"116808356240589C",16.806
"911745684259545E",41.811
"532467228310191B",41.811
"991484089098616E",30.852
"747476312056114B",30.852
"444924571787711D",11.045
"798244247108538A",11.045
"87388273168941C",75.673
"61415882694783E",75.673
"225870341683401C",20.233
"815458751257413D",20.233
"926238592010300C",16.755
"835066962679600C",16.755
"882698133339670B",52.299
"955740457940444B",52.299
"955200492078343A",63.051
"977259404152376C",63.051
"53865178276426C",24.421
"595936337311737B",24.421
"766953405908110B",69.843
"62870433602416E",69.843
"141857474135030E",26.31
"62308236775603C",26.31
"579803471123971A",84.238
"715388856581285D",84.238
"357733941274136B",34.029
"221437088390273B",34.029
"678743411956355E",21.079
"823694085604874D",21.079
"994949991098125B",73.648
"976613333507499D",73.648
"207060259709335B",70.732
"512700576559264D",70.732
"325902245835755A",39.744
"454426161635105D",39.744
"635067492392211A",60.075
"217771004810637A",60.075
"160968300296730E",69.322
"771090650144153D",69.322
"374164366609657A",85.166
"9434044798293D",85.166
"267740810633423D",48.632
"118777380235225A",48.632
"46647274678845B",22.491
"926870386129378B",22.491
"254976950909109A",59.642
"566107908463995B",59.642
"614944661903206D",40.508
"840974581803833A",40.508
"905661817678640C",45.315
"340205829549942B",45.315
"260398729830154A",27.938
"961347262486084E",27.938
"10034882643709A",86.129
"859124537197399C",86.129
"806881620317325E",25.03
"943128541671493D",25.03
"563336812158500D",70.687
"529430765966758A",70.687
"482237744192890A",81.021
"293419420097726B",81.021
"63563661499022E",81.863
"332414017590782A",81.863
"35316478872641E",63.754
"440751768470494C",63.754
"689920789158656A",38.307
"300000104462575A",38.307
"344079156250411B",58.962
"353261848627440C",58.962
"478979384279487D",67.958
"382250506153448A",67.958
"174568418203445B",61.143
"64867140020398E",61.143
"944403048897421B",18.065
"797285614879489D",18.065
"58008808043448B",26.967
"144281490236471B",26.967
"824689835919425C",16.197
"581748007555507B",16.197
"122287681692380A",80.355
"4180480081374B",80.355
"119776577881349D",61.923
"196037584121953D",61.923
"475965885315207B",16.016
"780225030403566C",16.016
"705298549156940C",27.621
"945346557589805A",27.621
"909435357115620C",62.061
"900224641185368B",62.061
"352438811879642D",30.786
"166211109982700B",30.786
"730209421614573A",42.571
"754437421922463A",42.571
"498603013107235E",64.139
"719060252960825B",64.139
"988904449358518C",46.002
"328518681867011C",46.002
"643219501196105E",13.339
"510650633754876B",13.339
"868631418141083C",89.631
"911995624922836C",89.631
"824977500786288C",37.555
"717719556614648C",37.555
"715571584721870A",78.879
"895265149733716D",78.879
"534442889524959D",17.609
"966264593001643B",17.609
"40669917693584B",28.107
"940191253598628E",28.107
"986226820305643E",62.962
"134824399040193B",62.962
"633879826412794C",56.888
"386731311035198E",56.888
"450531264154004D",38.707
"106604795440548B",38.707
"70689855883512B",45.727
"956196491261523A",45.727
"130692106757023E",49.938
"140142076703009D",49.938
"994779148960840B",64.687
"428342436129146A",64.687
"149023950734053A",36.281
"973180734508796E",36.281
"813254350933280D",53.535
"226669750806190A",53.535
"173844908842289D",19.474
"60996473836312D",19.474
"420934058243398C",59.25
"424639350142013E",59.25
"187007185604661C",40.905
"741138643944459A",40.905
"274506460984618A",38.856
"357452746839125A",38.856
"132040762703364C",36.637
"292096749851419A",36.637
"67625864107156E",62.546
"783865651881804C",62.546
"61179754883024D",45.823
"359180579109996C",45.823
"256511645125882C",61.816
"626602643125616C",61.816
"193153462631283C",34.787
"549102640200561D",34.787
"602727946824240E",23.113
"572255372996610E",23.113
"984281595211565E",13.919
"464912481223555A",13.919
"755343152794033D",17.327
"963094676037954C",17.327
"792636867748276A",57.056
"73906311040995D",57.056
"973809672445158E",43.55
"34071006931335A",43.55
"183167677264456A",87.847
"715771233235762E",87.847
"911331378394799B",61.046
"31835852282090C",61.046
"428958188717547C",56.104
"337268232834977C",56.104
"611210459708618C",32.31
"230810171290929B",32.31
"433230045944767B",16.31
"851908886037579C",16.31
"103219301135266B",55.081
"971604897933729B",55.081
"94963283329587C",17.174
"5619446775046B",17.174
"523574399094724E",42.368
"159145970070424B",42.368
"797524182818190A",51.367
"573740888241603C",51.367
"473292512190938A",75.898
"68919590111875C",75.898
"820624418963678A",81.707
"487929089903727A",81.707
"85753951870292B",13.417
"42901450458244C",13.417
"631961660545058C",46.184
"53972523572261A",46.184
"181356771721902C",73.079
"352724221663681B",73.079
"16414372179206D",58.123
"26025979153668D",58.123
"160552704418531D",34.472
"449065890848898B",34.472
"775014762580019A",75.274
"872403234707420B",75.274
"199647228917264C",68.185
"168507871301707C",68.185
"978639803732122B",47.431
"452080340348318C",47.431
"900194901280111C",68.492
"579288117439391D",68.492
"813035703895919B",86.776
"113547530002540D",86.776
"350941567701974B",21.546
"950046801695022A",21.546
"775931940960624B",73.317
"165241583733673A",73.317
"547435806478507D",82.275
"708111723275659D",82.275
"336590785334156E",71.381
"837607851550815C",71.381
"651456168214172A",78.713
"871431747068192C",78.713
"913669272436606E",37.455
"434413565864579D",37.455
"152287851995679A",18.186
"821291533134150B",18.186
"914655924211831D",62.138
"893238232268344A",62.138
"891110982122327C",86.008
"287194037031245D",86.008
"990953093523432A",19.57
"92163223100876C",19.57
"554618874203814E",76.107
"687445508502188B",76.107
"563502582220797E",60.452
"768172481512859E",60.452
"50999188307402C",83.532
"281958184176072C",83.532
"164829051571847C",83.057
"604313145500161D",83.057
"684231894708511D",15.835
"201163339649423A",15.835
"350689441836643A",47.795
"751154366425985C",47.795
"631648333866157C",81.296
"857184573546355B",81.296
"195870306712915C",86.928
"246468831830919D",86.928
"790810087373967D",85.644
"943238176494436C",85.644
"916605232929459B",42.111
"829617792002026A",42.111
"265081377478990C",33.563
"209561975172490E",33.563
"463228712786635A",38.731
"11804797830605D",38.731
"419563857241689B",50.954
"633533262972571D",50.954
"247650267234666C",47.659
"627045560805574E",47.659
"373882147250862E",81.813
"500309872762894E",81.813
"651933402823874C",23.566
"504523919392271D",23.566
"544123452764283A",29.826
"587984056045571E",29.826
"192249121790249E",53.439
"50410328298369E",53.439
"459875488677400A",29.155
"705520966751195E",29.155
"626585466107716D",35.184
"961061328013647A",35.184
"606031967539119C",34.378
"573070178374820A",34.378
"328978619996889D",37.788
"311302928493557B",37.788
"123053513833817D",59.471
"602510619515023A",59.471
"922615586545729E",16.692
"713113840013657D",16.692
"893727648652097C",49.469
"431494355251674C",49.469
"32401049152729B",21.823
"950322457164799E",21.823
"350775703505025A",79.626
"117543108062682A",79.626
"398474747990798B",30.345
"83739986106306D",30.345
"287480051632479D",43.436
"543773674375544D",43.436
"255165774504048A",47.479
"124066992255848E",47.479
"658453716497299B",80.311
"102940210365332D",80.311
"655373793896323E",32.931
"536306694954716C",32.931
"7142050684732B",50.14
"14027198601133D",50.14
"394731170730743C",41.449
"794129989889540A",41.449
"75426266127792E",27.396
"445981570268773D",27.396
"233335353921024B",62.911
"995348363387703B",62.911
"446661193869737D",27.302
"878769011687006B",27.302
"737827788658913C",44.781
"305249926019442B",44.781
"110696448515065C",43.192
"280324749008330B",43.192
"263775783096897C",69.804
"871310032613427A",69.804
"866889046785837E",15.229
"774808136593409C",15.229
"268362209002012B",35.599
"964236612160974C",35.599
"605431005409622E",74.886
"192303250545757C",74.886
"325903616951933A",31.346
"238941458531585B",31.346
"554697273178809C",23.131
"615500422205552D",23.131
"779999380327047A",50.31
"364512098472544A",50.31
"148081215768658C",15.562
"104100983809458A",15.562
"636158928551479D",28.017
"107744084174479E",28.017
"684054834317530E",41.382
"890665038371520E",41.382
"829388843936808E",34.189
"322382081954696E",34.189
"281254147429680B",26.011
"349178234150458E",26.011
"193947094228241D",52.034
"765894882909726C",52.034
"464522965272984A",39.182
"265723782382354E",39.182
"10969995533956C",52.844
"33502960796882E",52.844
"696589465414104D",10.973
"434917335971676D",10.973
"708663518441802B",68.642
"988898089763758D",68.642
"799928735509964B",12.33
"811772641638088E",12.33
"355619647679498E",66.347
"970231163672434A",66.347
"414480471814843C",19.034
"78344667766311B",19.034
"317233384590125E",38.078
"684955678244246C",38.078
"471505129991647E",33.747
"168949924957279C",33.747
"743021028331010C",63.159
"999738680061159D",63.159
"826992759713471B",19.996
"208394755790429D",19.996
"607586431930618B",39.104
"477906244632932A",39.104
"436798080925379E",87.775
"989598161044194C",87.775
"982897498227309D",88.701
"642810688710313D",88.701
"769226359011315A",46.776
"593007126519402A",46.776
"528331296594566C",28.687
"597487157143662C",28.687
"747385350936378A",32.619
"630559455997113D",32.619
"397672870355387C",45.575
"739104006077998E",45.575
"962916088972580B",52.11
"449335121843954E",52.11
"425085153404525B",40.242
"551678495928479D",40.242
"530452055868236E",65.681
"173725054562558E",65.681
"492772619420882E",31.11
"860637277795602C",31.11
"312914733643219E",49.766
"906261679323590B",49.766
"431411899037174C",48.165
"293466177798534E",48.165
"742267462391875B",30.922
"434000946961667E",30.922
"371320917735776D",37.946
"370575650164788D",37.946
"899691628757413B",64.318
"956352325744457D",64.318
"402201528046988B",86.199
"769461627208157C",86.199
"249899697153399D",14.553
"945465229141671B",14.553
"465922423144609B",56.805
"198223329897726A",56.805
"419933241598682D",15.432
"317718932636447E",15.432
"946017995029743D",36.855
"44001683366913D",36.855
"93339821224472A",87.135
"438421833784408E",87.135
"345479711806284B",58.583
"944656644604772B",58.583
"827635118764762D",30.669
"297979446817287B",30.669
"208831530527761A",15.033
"539589141533010C",15.033
"154916117839506C",64.013
"144843156879233A",64.013
"325676927614356A",19.099
"544749470085542E",19.099
"826780533750626D",12.436
"136984633653224E",12.436
"436469525336269C",72.287
"364056430199268D",72.287
"144115832024379B",35.931
"567589560720680D",35.931
"159880196545431D",54.793
"546160126022008B",54.793
"347403102847796E",60.33
"118770130305214A",60.33
"359905969769466C",61.596
"743468044086025E",61.596
"666491672293428E",58.413
"66242492574567A",58.413
"318372046792501E",25.46
"63311773127595A",25.46
"676053701291690E",85.539
"509280623937773D",85.539
"268003052466720E",21.189
"939107141749000A",21.189
"376884786718382E",45.199
"730194082103634D",45.199
"765342062214423E",49.323
"318393899093950E",49.323
"495180717718853A",30.565
"718062467847343D",30.565
"401390037116336A",33.438
"700480082185860D",33.438
"198278402367826D",82.792
"995740547575737E",82.792
"478295574388497B",56.238
"921752981358156A",56.238
"200540593871121E",82.034
"659952595521089B",82.034
"182365239239806B",43.096
"679888074976289E",43.096
"496303186781208D",81.113
"258087994878178B",81.113
"874319434825747D",69.259
"196586494141793A",69.259
"716479612385065A",22.969
"655742202579758A",22.969
"294428987576028A",69.93
"310276364551721B",69.93
"781975667165689E",66.124
"575923024135429D",66.124
"553321419140074D",70.914
"939983133690812D",70.914
"15391932337796D",78.743
"988663430129025C",78.743
"225691605442136B",80.021
"372937270800346E",80.021
"20195852207494C",69.386
"87098820758736E",69.386
"984674875064691E",18.632
"685100053719994D",18.632
"739136419734312A",20.577
"531505153335137B",20.577
"155555053607385E",53.483
"859442674982092C",53.483
"314949769568773D",61.336
"586235235628788D",61.336
"762025374834878C",87.256
"83380594028538B",87.256
"67275222213725B",53.01
"343670905515051B",53.01
"433873296983733A",32.98
"85275705364567D",32.98
"523297570605455A",89.054
"524941036351783E",89.054
"457567475686096D",24.534
"992711341049851D",24.534
"340389967397028A",76.696
"120105964239259D",76.696
"29456066734762B",45.259
"617229217182697B",45.259
"401741992751702C",73.867
"117536869548410D",73.867
"399693942860471C",18.329
"254378318030224B",18.329
"86133802006522E",64.34
"637081428496197D",64.34
"725998085962551E",82.875
"673850172910487D",82.875
"622981349390721E",85.723
"248744170264984A",85.723
"319175258596915C",74.037
"930145911098056B",74.037
"106043043226269E",33.889
"891884976896170C",33.889
"430694456082351E",60.174
"388040779065648B",60.174
"572636084623431C",78.248
"762155903715692B",78.248
"204597607110847D",65.542
"556441968885124E",65.542
"846698106986437B",68.316
"368780699874673B",68.316
"942183713636971D",87.664
"918442837838757E",87.664
"539871779620132A",87.012
"7265862080972D",87.012
"618048475413857A",59.831
"710441637688205A",59.831
"494122940601462E",10.737
"784538751650474E",10.737
"362274178090379A",22.18
"440714742859593A",22.18
"197427379197922B",29.899
"395866529400167B",29.899
"75442479020821E",75.8
"190206918431144E",75.8
"398805521999208C",36.157
"647618154627979A",36.157
"831943512346253D",85.098
"335094240513400A",85.098
"556082416717573D",29.305
"660347097719450B",29.305
"617679679752057B",23.242
"313768651514806D",23.242
"991321912573736E",58.929
"359749588713832A",58.929
"533980387218624C",86.609
"348650815164983E",86.609
"716949353729722D",59.56
"284538263858976C",59.56
"542973352586382B",24.647
"186726705589858D",24.647
"751373428396659D",41.643
"597093063855836D",41.643
"280798033347303C",70.83
"61168087871674B",70.83
"396781091432991D",74.16
"875649446365458E",74.16
"103875416213312A",80.885
"354460394540216C",80.885
"487609857177560C",24.32
"140680911201080B",24.32
"398234523173550A",71.812
"899538421270777D",71.812
"239644485744893E",25.933
"606951651066260A",25.933
"720218884065889B",40.567
"742416045161634D",40.567
"955204731999076D",42.865
"173250928582325C",42.865
"492434915109142C",73.217
"85307923988329C",73.217
"603720620915374C",19.912
"975836464211387D",19.912
"193428219762611E",42.891
"677932403314220E",42.891
"895431441858960E",51.295
"289968264429601A",51.295
"424806976613067E",46.868
"226545742017631C",46.868
"255591434535484E",68.92
"339571373908907D",68.92
"637572377077676E",63.234
"140931744949669D",63.234
"43248536095239D",19.839
"2734804985177B",19.839
"603817271838905D",47.876
"547371908465401B",47.876
"971625341820604E",31.139
"869357857937167E",31.139
"933172216967683A",77.919
"12606281409464B",77.919
"832773368273484C",28.191
"416785493795668C",28.191
"580442730595881B",46.702
"10040220491895B",46.702
"892490176749938D",82.932
"660208586542002E",82.932
"887893160745512B",42.501
"849535122194126C",42.501
"459010494784191D",67.67
"540884936212168B",67.67
"752272023927490C",67.2
"45665976135608C",67.2
"772148576985731C",65.602
"704343813633519C",65.602
"6863827933644D",85.424
"781125062918432D",85.424
"693384472012744B",59.878
"676153103067882D",59.878
"911958727566314A",36.07
"337046439089777B",36.07
"409608885865943A",34.638
"863177290074297A",34.638
"597032233768004C",11.734
"31229823553227B",11.734
"120552730037691B",47.708
"705057602370725C",47.708
"477812695022967A",50.852
"331252810918993B",50.852
"326398417496694B",77.743
"179871893015954A",77.743
"442100075810464D",86.651
"569428138135123A",86.651
"816026125165624E",63.844
"869795841511124C",63.844
"396897942055960E",82.605
"881273976462200E",82.605
"710823533834255E",53.789
"268580802490993B",53.789
"432305103236D",34.957
"586616582251505C",34.957
"517978360980424E",22.655
"311147557861566E",22.655
"106348242850684E",51.691
"787627798846598D",51.691
"266586952046836C",24.577
"489461161587761E",24.577
"28602801087589E",83.233
"822567229712551C",83.233
"951568166821875A",82.397
"846664805733588A",82.397
"59866794228737B",43.478
"962757902139893A",43.478
"57429897284431B",54.852
"464408538934221E",54.852
"437238454600208E",60.557
"148319838338054E",60.557
"962107939838808C",28.941
"384251252849289C",28.941
"604414031715683D",20.802
"545102496434409C",20.802
"988412859703329D",35.021
"806565346628215A",35.021
"852434005780326D",76.897
"306094485602820D",76.897
"580832380978949A",15.121
"268738847801681A",15.121
"826401032216493E",31.397
"668539556048719A",31.397
"847603633165104C",10.504
"779697191726235E",10.504
"260118841409133E",67.035
"546543935002525A",67.035
"921568866819896A",67.709
"663559581257837C",67.709
"990404792370455D",57.498
"111468618961904C",57.498
"108272348156909E",84.356
"229809777788101D",84.356
"973868194700425C",11.466
"204746152554361E",11.466
"237129158243864D",13.7
"695696418420247D",13.7
"551549411105556D",10.317
"692076041114748A",10.317
"694539779682368C",74.723
"385346086171770D",74.723
"671899674612602E",74.806
"80771127045379D",74.806
"578530006213263A",83.519
"149510830625322D",83.519
"684906846258171B",58.641
"357763566374841B",58.641
"674186844841599E",28.388
"68785542095269B",28.388
"63591996959857C",80.598
"21419790717577D",80.598
"933032144881311D",88.125
"115741623999871D",88.125
"188047388037272C",55.143
"568999852845687E",55.143
"419885891277528B",65.452
"650005163255954E",65.452
"223176352738444B",47.27
"900493664218983D",47.27
"386107326158409C",63.579
"688349557548235B",63.579
"485530771406703C",28.59
"268217441740204C",28.59
"934396656762902D",14.779
"998854388836287C",14.779
"264028953811912B",82.203
"68695520180355B",82.203
"684613309309025C",24.853
"427672415673991C",24.853
"568530739472373C",29.035
"155561521775933D",29.035
"963270584014431C",87.357
"994361906974653D",87.357
"114090543451304B",61.03
"494082027633143D",61.03
"46825884335309C",84.555
"653007924731510D",84.555
"971135797139179E",73.8
"545323530491142C",73.8
"86197656167584E",70.413
"229863831425168D",70.413
"294940702914719C",63.423
"795261530166076A",63.423
"126047576042538D",42.036
"998371527905197E",42.036
"308743664971757B",73.536
"229690643957614C",73.536
"25434122184189B",30.404
"444425711131338C",30.404
"178418186528414A",71.337
"198813971397042C",71.337
"2015355244764C",12.252
"144531504169533D",12.252
"28827498875758A",23.766
"264394118844654B",23.766
"236421618042051C",26.384
"346602268970156B",26.384
"661860994584668B",61.687
"214199864291401A",61.687
"88927275605094A",66.745
"82738196009494E",66.745
"676730705974645D",48.409
"887793472252526D",48.409
"9411761729326B",26.456
"618902699038003B",26.456
"167709395429572E",78.036
"818651251333323D",78.036
"347306756822713C",12.735
"589569014935882B",12.735
"172857453178652E",21.282
"632881512951823E",21.282
"166903500297152B",80.84
"983408776992000B",80.84
"514280404103250A",39.458
"387541007803616A",39.458
"267443180102771A",54.499
"723507872139802E",54.499
"939146219586418C",52.581
"247394477706960B",52.581
"166175200593435B",66.802
"380653899277707B",66.802
"174070886748598B",35.739
"527394537176657C",35.739
"842958361003649D",73.137
"957933356468970E",73.137
"587249266341690A",44.36
"450244068059131D",44.36
"373372375327982D",46.597
"880842313506997D",46.597
"642553515408833A",47.553
"554866769757225E",47.553
"247205352750529B",53.917
"769249939160881A",53.917
"894800390709545A",52.498
"105129365321735C",52.498
"443683473560731E",16.452
"792455981113071A",16.452
"359993602638364A",89.015
"553172985978073B",89.015
"564408356333050D",75.355
"457369792658766B",75.355
"925403127788127B",35.652
"838321841881964D",35.652
"912891897878369E",51.784
"487513416591573B",51.784
"509133046740094B",85.246
"446516155420062B",85.246
"287842354346778B",19.704
"996990203945978B",19.704
"606946458126919A",18.827
"761187853554313B",18.827
"41373556481689A",89.851
"313505973112348E",89.851
"759354367967014C",16.489
"148775552995277A",16.489
"692153342998645D",59.19
"562635268529197A",59.19
"92138173899412C",71.858
"733348970065639B",71.858
"356113213147745E",64.957
"319324423749484C",64.957
"823708434110057A",24.923
"199485149424185C",24.923
"719793112482373C",26.109
"566426078137882A",26.109
"975865470105307D",54.132
"596954830209229C",54.132
"88165617244050A",39.288
"890988214248121E",39.288
"434477024697322E",54.902
"152544925423341E",54.902
"510730920007648A",56.791
"808676267164501B",56.791
"753705203060516B",12.636
"253918409704666D",12.636
"219187310446327A",35.761
"278481630559964E",35.761
"346256337797704B",48.974
"655696981633929C",48.974
"973619891646282D",42.453
"885092534279015D",42.453
