N_individuals,steps,scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,8,30,34,19,171,1572,0.517
100,500,8,17,18,27,126,749,0.745
100,500,8,29,34,19,171,1280,0.559
100,500,8,30,79,19,171,996,0.406
100,500,8,64,39,38,167,1288,0.592
100,500,8,14,35,27,126,741,0.613
100,500,8,30,34,19,122,1161,0.475
100,500,8,25,61,36,148,1239,0.577
100,500,8,21,61,36,148,1156,0.55
100,500,8,84,40,38,108,936,0.467
100,500,8,25,28,36,148,1456,0.716
100,500,8,89,33,38,168,980,0.587
100,500,8,25,61,36,117,1000,0.509
100,500,8,76,74,37,99,957,0.417
100,500,8,83,68,35,178,1051,0.492
100,500,8,24,68,35,178,1203,0.589
100,500,8,77,20,37,123,996,0.529
100,500,8,83,16,35,178,1173,0.727
100,500,8,83,68,35,146,1117,0.479
100,500,8,58,47,22,157,1182,0.42
100,500,8,17,12,30,127,685,0.727
100,500,8,86,47,22,157,761,0.43
100,500,8,58,14,22,157,1238,0.495
100,500,8,58,47,22,137,914,0.43
100,500,8,53,90,30,92,691,0.421
100,500,8,14,35,32,126,983,0.547
100,500,8,17,35,32,126,877,0.563
100,500,8,64,56,34,153,1307,0.51
100,500,8,14,18,32,126,929,0.648
100,500,8,14,35,32,126,983,0.547
100,500,8,64,60,18,164,910,0.431
100,500,8,62,60,34,159,1198,0.538
100,500,8,67,78,13,93,727,0.363
100,500,8,84,40,38,108,936,0.467
100,500,8,13,63,18,110,674,0.45
100,500,8,89,40,38,108,978,0.442
100,500,8,77,86,13,118,759,0.373
100,500,8,84,33,38,108,1077,0.472
100,500,8,76,74,30,99,850,0.376
100,500,8,78,23,30,173,1160,0.573
100,500,8,84,40,38,168,1114,0.575
100,500,8,77,74,30,99,826,0.408
100,500,8,17,12,19,127,630,0.735
100,500,8,76,20,30,99,876,0.471
100,500,8,24,58,30,147,1063,0.516
100,500,8,53,12,19,127,1018,0.433
100,500,8,17,90,19,127,731,0.378
100,500,8,64,56,24,153,982,0.47
100,500,8,74,27,28,170,1294,0.585
100,500,8,76,74,30,123,1002,0.422
100,500,8,64,60,12,164,982,0.388
100,500,8,62,56,24,153,921,0.421
100,500,8,82,64,28,164,816,0.471
100,500,8,67,78,13,93,727,0.363
100,500,8,17,12,19,92,660,0.608
100,500,8,64,60,24,153,944,0.434
100,500,8,13,60,12,164,802,0.459
100,500,8,64,63,12,164,769,0.406
100,500,8,77,78,13,93,653,0.363
100,500,8,67,86,13,93,680,0.391
100,500,8,78,23,24,173,1157,0.504
100,500,8,64,56,24,159,992,0.426
100,500,8,64,60,12,110,727,0.36
100,500,8,24,23,24,173,1819,0.721
100,500,8,67,78,13,118,764,0.368
100,500,8,78,58,24,173,981,0.429
100,500,8,20,33,42,148,1244,0.646
100,500,8,78,23,24,147,1095,0.532
100,500,8,17,69,42,163,1176,0.542
100,500,8,74,27,41,170,1541,0.646
100,500,8,20,33,7,148,920,0.528
100,500,8,66,75,37,121,1002,0.47
100,500,8,82,27,41,170,1410,0.643
100,500,8,66,75,6,121,580,0.369
100,500,8,22,13,37,99,1282,0.555
100,500,8,17,33,7,148,817,0.497
100,500,8,68,11,8,152,1073,0.36
100,500,8,74,64,41,170,1237,0.502
100,500,8,22,75,6,121,740,0.369
100,500,8,68,11,21,152,1115,0.51
100,500,8,20,69,7,148,743,0.381
100,500,8,67,77,13,114,740,0.374
100,500,8,33,11,8,152,1132,0.469
100,500,8,66,13,6,121,845,0.372
100,500,8,33,34,21,121,1066,0.436
100,500,8,68,34,8,152,965,0.342
100,500,8,54,77,13,114,809,0.372
100,500,8,40,20,16,148,1687,0.397
100,500,8,67,77,20,114,855,0.38
100,500,8,74,27,41,164,1458,0.567
100,500,8,67,50,13,114,745,0.373
100,500,8,20,33,7,163,896,0.513
100,500,8,90,20,16,148,688,0.42
100,500,8,66,75,6,99,732,0.373
100,500,8,54,50,20,166,1050,0.455
100,500,8,68,11,8,121,840,0.392
100,500,8,40,18,16,148,1528,0.4
100,500,8,52,52,24,116,802,0.378
100,500,8,67,77,13,166,695,0.383
100,500,8,11,52,24,116,841,0.441
100,500,8,40,20,16,105,1078,0.382
100,500,8,52,11,24,116,1009,0.388
100,500,8,68,36,26,158,1185,0.588
100,500,8,90,18,35,105,846,0.44
100,500,8,40,20,35,148,1821,0.537
100,500,8,18,36,26,158,743,0.716
100,500,8,11,11,14,124,842,0.673
100,500,8,52,52,24,124,853,0.44
100,500,8,52,52,14,116,846,0.369
100,500,8,68,62,26,158,999,0.477
100,500,8,18,62,24,103,754,0.415
100,500,8,68,36,26,103,866,0.442
100,500,8,68,36,24,158,1030,0.56
100,500,8,37,20,16,130,1322,0.45
100,500,8,54,76,16,149,765,0.388
100,500,8,62,53,24,127,897,0.42
100,500,8,54,76,41,149,1256,0.503
100,500,8,65,33,24,177,1113,0.509
100,500,8,37,76,41,149,1178,0.485
100,500,8,85,25,25,112,779,0.467
100,500,8,54,20,41,149,1569,0.475
100,500,8,54,76,41,130,1162,0.505
100,500,8,20,81,25,114,727,0.424
100,500,8,65,33,34,177,1304,0.664
100,500,8,52,27,31,160,1172,0.541
100,500,8,62,33,34,177,1225,0.564
100,500,8,65,33,34,127,1016,0.491
100,500,8,15,21,31,148,765,0.732
100,500,8,65,53,34,177,1193,0.521
100,500,8,18,29,23,93,751,0.493
100,500,8,81,51,23,163,945,0.481
100,500,8,20,81,38,114,914,0.45
100,500,8,85,81,38,114,970,0.455
100,500,8,20,81,38,112,948,0.446
100,500,8,77,83,39,90,771,0.471
100,500,8,42,76,6,148,611,0.37
100,500,8,20,25,38,114,1127,0.538
100,500,8,15,21,24,148,741,0.752
100,500,8,52,21,24,148,1058,0.434
100,500,8,15,21,24,160,805,0.807
100,500,8,81,51,19,163,883,0.451
100,500,8,15,27,24,148,711,0.758
100,500,8,18,51,19,163,715,0.536
100,500,8,81,51,19,93,740,0.369
100,500,8,71,81,28,144,941,0.443
100,500,8,29,50,39,139,1372,0.535
100,500,8,64,19,6,153,991,0.361
100,500,8,81,29,19,163,961,0.454
100,500,8,80,47,24,127,790,0.418
100,500,8,61,70,11,152,838,0.406
100,500,8,28,56,28,161,1193,0.514
100,500,8,48,83,17,120,761,0.389
100,500,8,29,50,42,90,981,0.449
100,500,8,29,50,42,139,1418,0.55
100,500,8,77,50,42,139,1344,0.553
100,500,8,56,55,24,132,1124,0.436
100,500,8,59,74,11,112,714,0.352
100,500,8,64,19,25,148,1059,0.503
100,500,8,36,21,30,98,1072,0.467
100,500,8,29,83,42,139,1238,0.512
100,500,8,28,56,7,144,852,0.394
100,500,8,64,19,25,153,1155,0.519
100,500,8,87,80,17,137,766,0.381
100,500,8,56,55,14,127,809,0.403
100,500,8,28,56,7,161,993,0.401
100,500,8,42,19,25,153,1380,0.437
100,500,8,71,56,7,161,926,0.387
100,500,8,56,55,14,132,822,0.378
100,500,8,64,76,25,153,767,0.403
100,500,8,80,55,14,132,736,0.357
100,500,8,28,81,7,161,728,0.4
100,500,8,56,47,14,132,1033,0.379
100,500,8,15,15,30,130,738,0.695
100,500,8,25,59,38,152,1230,0.559
100,500,8,57,27,11,177,1267,0.395
100,500,8,59,74,39,112,990,0.458
100,500,8,59,74,39,152,1085,0.496
100,500,8,61,74,39,112,981,0.453
100,500,8,59,70,39,112,1037,0.448
100,500,8,13,54,26,162,1026,0.605
100,500,8,44,35,38,145,1300,0.518
100,500,8,83,75,11,173,685,0.422
100,500,8,87,80,34,120,870,0.423
100,500,8,87,80,34,137,887,0.463
100,500,8,48,80,34,137,1073,0.457
100,500,8,87,83,34,137,812,0.459
100,500,8,18,86,26,152,884,0.426
100,500,8,15,15,36,98,820,0.577
100,500,8,15,15,36,130,943,0.634
100,500,8,46,62,39,172,1428,0.541
100,500,8,44,35,17,152,1176,0.378
100,500,8,36,15,36,130,1511,0.576
100,500,8,44,35,17,145,1174,0.383
100,500,8,83,75,14,177,756,0.399
100,500,8,15,21,36,130,958,0.638
100,500,8,25,35,17,145,1187,0.571
100,500,8,18,86,7,162,665,0.37
100,500,8,83,75,14,173,825,0.381
100,500,8,18,86,7,152,665,0.388
100,500,8,57,75,14,173,875,0.365
100,500,8,63,58,26,142,1066,0.442
100,500,8,85,69,39,139,990,0.461
100,500,8,44,59,17,145,975,0.398
100,500,8,13,86,7,152,545,0.378
100,500,8,83,27,14,173,1120,0.386
100,500,8,18,54,7,152,658,0.448
100,500,8,85,69,25,172,828,0.478
100,500,8,85,69,25,139,678,0.42
100,500,8,34,54,26,103,866,0.403
100,500,8,46,69,25,139,808,0.437
100,500,8,34,54,19,103,899,0.392
100,500,8,34,54,19,142,1061,0.394
