N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,7056,1600,5372,2,10,28,28,167,1885,0.688
100,500,7056,1600,5372,4,10,81,21,134,731,0.398
100,500,7056,1660,5312,6,10,60,16,118,637,0.419
100,500,7056,1600,5372,5,10,50,42,112,953,0.465
100,500,7056,1680,5292,7,10,52,36,101,703,0.447
100,500,7056,1680,5292,7,10,79,10,161,579,0.397
100,500,7056,1600,5372,5,10,12,20,180,347,0.588
100,500,7056,1660,5312,6,10,43,5,149,665,0.411
100,500,7056,1600,5372,1,10,68,30,159,1348,0.671
100,500,7056,1600,5372,2,10,20,11,125,936,0.612
100,500,7056,1600,5372,3,10,55,21,163,347,0.513
100,500,7056,1680,5292,7,10,81,10,116,523,0.4
100,500,7056,1600,5372,4,10,87,14,120,665,0.373
100,500,7056,1600,5372,5,10,31,37,154,811,0.459
100,500,7056,1660,5312,6,10,61,39,103,803,0.428
100,500,7056,1600,5372,4,10,14,8,144,965,0.68
100,500,7056,1600,5372,3,10,75,36,173,1029,0.598
100,500,7056,1600,5372,4,10,74,15,146,736,0.42
100,500,7056,1680,5292,7,10,31,14,134,203,0.453
100,500,7056,1600,5372,4,10,22,23,109,1164,0.405
100,500,7056,1600,5372,4,10,81,34,171,1042,0.489
100,500,7056,1600,5372,5,10,57,8,114,454,0.381
100,500,7056,1600,5372,2,10,72,31,169,1311,0.522
100,500,7056,1600,5372,1,10,28,30,168,2440,0.893
100,500,7056,1660,5312,6,10,17,41,163,965,0.567
100,500,7056,1600,5372,1,10,54,14,106,743,0.409
100,500,7056,1600,5372,4,10,45,25,123,1198,0.381
100,500,7056,1600,5372,5,10,51,16,158,428,0.397
100,500,7056,1660,5312,6,10,21,35,131,854,0.473
100,500,7056,1660,5312,6,10,62,7,179,724,0.441
100,500,7056,1600,5372,5,10,89,8,157,628,0.416
100,500,7056,1680,5292,7,10,63,7,127,454,0.405
100,500,7056,1660,5312,6,10,20,17,179,604,0.742
100,500,7056,1600,5372,2,10,84,34,144,1135,0.482
100,500,7056,1600,5372,3,10,65,19,160,442,0.471
100,500,7056,1600,5372,2,10,38,9,122,741,0.495
100,500,7056,1600,5372,5,10,75,30,105,789,0.413
100,500,7056,1600,5372,4,10,45,32,151,1290,0.436
100,500,7056,1600,5372,4,10,36,30,175,1708,0.437
100,500,7056,1680,5292,7,10,74,18,134,478,0.421
100,500,7056,1600,5372,5,10,77,17,143,542,0.4
100,500,7056,1600,5372,2,10,47,12,104,681,0.463
100,500,7056,1600,5372,3,10,66,36,156,998,0.623
100,500,7056,1600,5372,5,10,36,35,122,721,0.427
100,500,7056,1600,5372,5,10,68,31,135,776,0.483
100,500,7056,1600,5372,2,10,17,15,137,1113,0.721
100,500,7056,1600,5372,3,10,28,20,131,269,0.513
100,500,7056,1600,5372,5,10,56,12,112,508,0.407
100,500,7056,1600,5372,4,10,57,7,109,627,0.388
100,500,7056,1660,5312,6,10,82,27,168,772,0.444
100,500,7056,1600,5372,3,10,76,23,138,680,0.446
100,500,7056,1600,5372,1,10,42,33,136,1856,0.77
100,500,7056,1600,5372,4,10,56,30,136,1109,0.431
100,500,7056,1600,5372,2,10,14,23,177,1713,0.873
100,500,7056,1600,5372,2,10,11,22,110,1220,0.766
100,500,7056,1660,5312,6,10,60,34,139,903,0.429
100,500,7056,1600,5372,2,10,82,33,133,1018,0.478
100,500,7056,1600,5372,3,10,85,12,140,615,0.39
100,500,7056,1660,5312,6,10,11,18,95,573,0.728
100,500,7056,1600,5372,1,10,72,30,162,1391,0.589
100,500,7056,1660,5312,6,10,69,9,111,566,0.382
100,500,7056,1680,5292,7,10,10,25,117,156,0.494
100,500,7056,1600,5372,3,10,57,15,124,536,0.424
100,500,7056,1660,5312,6,10,67,23,155,793,0.406
100,500,7056,1600,5372,4,10,44,26,178,1592,0.42
100,500,7056,1600,5372,5,10,82,31,106,753,0.406
100,500,7056,1660,5312,6,10,66,37,142,1014,0.493
100,500,7056,1600,5372,4,10,28,10,173,1064,0.655
100,500,7056,1600,5372,4,10,75,18,113,622,0.399
100,500,7056,1600,5372,3,10,82,7,91,602,0.359
100,500,7056,1660,5312,6,10,73,28,108,730,0.43
100,500,7056,1600,5372,4,10,90,34,157,1103,0.465
100,500,7056,1600,5372,2,10,51,24,168,1255,0.606
100,500,7056,1600,5372,5,10,77,31,127,914,0.41
100,500,7056,1600,5372,1,10,42,7,147,692,0.412
100,500,7056,1600,5372,3,10,67,35,169,928,0.627
100,500,7056,1600,5372,5,10,11,34,157,663,0.466
100,500,7056,1600,5372,5,10,70,28,117,780,0.412
100,500,7056,1600,5372,2,10,48,8,134,752,0.476
100,500,7056,1600,5372,2,10,53,12,167,830,0.543
100,500,7056,1600,5372,1,10,67,16,92,748,0.433
100,500,7056,1600,5372,4,10,59,39,137,1245,0.463
100,500,7056,1600,5372,4,10,72,18,166,836,0.414
100,500,7056,1600,5372,5,10,36,13,168,302,0.467
100,500,7056,1600,5372,2,10,69,22,155,985,0.493
100,500,7056,1600,5372,3,10,17,10,132,154,0.513
100,500,7056,1600,5372,2,10,43,22,91,841,0.472
100,500,7056,1600,5372,2,10,48,18,110,897,0.47
100,500,7056,1600,5372,5,10,67,25,146,677,0.411
100,500,7056,1680,5292,7,10,46,41,102,781,0.456
100,500,7056,1660,5312,6,10,64,40,114,953,0.463
100,500,7056,1600,5372,4,10,52,39,152,1356,0.483
100,500,7056,1600,5372,3,10,39,23,107,492,0.474
100,500,7056,1680,5292,7,10,16,7,111,245,0.494
100,500,7056,1660,5312,6,10,48,17,163,715,0.506
100,500,7056,1600,5372,2,10,74,18,152,872,0.47
100,500,7056,1600,5372,4,10,13,38,143,1959,0.458
100,500,7056,1600,5372,3,10,70,30,127,720,0.471
100,500,7056,1600,5372,2,10,24,23,167,1660,0.775
100,500,7056,1600,5372,2,10,14,7,147,812,0.585
100,500,7056,1600,5372,3,10,80,8,162,601,0.391
100,500,7056,1660,5312,6,10,81,22,138,701,0.405
100,500,7056,1600,5372,1,10,64,22,120,998,0.507
100,500,7056,1600,5372,5,10,59,26,131,684,0.417
100,500,7056,1600,5372,1,10,72,9,106,598,0.39
100,500,7056,1600,5372,2,10,75,11,168,718,0.419
100,500,7056,1600,5372,3,10,87,29,177,819,0.496
100,500,7056,1600,5372,3,10,17,38,99,900,0.718
100,500,7056,1680,5292,7,10,42,37,98,666,0.426
100,500,7056,1600,5372,5,10,10,38,172,792,0.538
100,500,7056,1600,5372,5,10,32,9,119,342,0.412
100,500,7056,1600,5372,2,10,73,20,142,824,0.464
100,500,7056,1660,5312,6,10,64,7,148,725,0.356
100,500,7056,1660,5312,6,10,71,36,100,782,0.421
100,500,7056,1600,5372,5,10,30,29,111,706,0.419
100,500,7056,1680,5292,7,10,29,30,170,252,0.508
100,500,7056,1660,5312,6,10,42,29,148,692,0.435
100,500,7056,1600,5372,5,10,62,33,133,806,0.427
100,500,7056,1660,5312,6,10,51,25,155,714,0.423
100,500,7056,1680,5292,7,10,79,21,143,579,0.409
100,500,7056,1600,5372,1,10,83,31,150,1078,0.494
100,500,7056,1600,5372,4,10,42,28,171,1491,0.418
100,500,7056,1660,5312,6,10,20,42,124,957,0.517
100,500,7056,1600,5372,2,10,15,31,164,2185,0.678
