run_id,N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,mean_hab_neighbors,total_crossings,assess_top_sections
360680432757201A,100,500,7056,4685,2287,8,66.15,0.293,20.074,118.567,5.916666666666667,1018,0.39
360680432757201A,100,500,7056,2124,4848,8,26.23,0.301,23.311,139.643,2.4166666666666665,714,0.507
360680432757201A,100,500,7056,1616,5356,8,18.401,0.751,15.974,117.926,1.880952380952381,577,0.388
360680432757201A,100,500,7056,3824,3148,8,52.236,0.765,6.863,94.878,4.273809523809524,638,0.359
360680432757201A,100,500,7056,2374,4598,8,31.126,0.766,33.994,94.317,2.4166666666666665,862,0.401
360680432757201A,100,500,7056,2697,4275,8,35.513,0.631,7.543,154.802,2.4166666666666665,640,0.445
360680432757201A,100,500,7056,4207,2765,8,60.355,0.523,32.006,94.035,5.095238095238095,1015,0.433
360680432757201A,100,500,7056,1474,5498,8,17.995,0.363,27.747,173.027,1.880952380952381,794,0.669
360680432757201A,100,500,7056,3031,3941,8,39.185,0.41,41.213,167.659,3.0238095238095237,1156,0.516
360680432757201A,100,500,7056,3563,3409,8,48.989,0.692,31.254,110.862,3.761904761904762,859,0.469
360680432757201A,100,500,7056,3683,3289,8,50.557,0.736,29.452,164.802,4.273809523809524,1087,0.437
360680432757201A,100,500,7056,5924,1048,8,84.714,0.297,12.055,125.032,5.9523809523809526,758,0.369
360680432757201A,100,500,7056,1706,5266,8,19.906,0.861,30.369,126.181,1.880952380952381,904,0.426
360680432757201A,100,500,7056,4053,2919,8,56.429,0.422,40.207,179.405,4.488095238095238,1471,0.538
360680432757201A,100,500,7056,2457,4515,8,32.728,0.599,29.482,97.988,2.4166666666666665,803,0.405
360680432757201A,100,500,7056,4805,2167,8,69.317,0.543,13.729,110.98,5.9523809523809526,915,0.355
360680432757201A,100,500,7056,2826,4146,8,37.649,0.482,25.3,133.487,3.0238095238095237,892,0.438
360680432757201A,100,500,7056,3185,3787,8,42.962,0.276,23.538,114.535,3.4523809523809526,830,0.411
360680432757201A,100,500,7056,1105,5867,8,11.589,0.467,20.959,169.289,1.4166666666666667,655,0.484
360680432757201A,100,500,7056,3185,3787,8,42.095,0.877,29.011,131.63,3.4523809523809526,828,0.447
360680432757201A,100,500,7056,4166,2806,8,58.551,0.9,8.04,122.467,5.095238095238095,599,0.367
360680432757201A,100,500,7056,2308,4664,8,30.685,0.45,23.004,137.629,2.4166666666666665,717,0.457
360680432757201A,100,500,7056,3498,3474,8,47.226,0.848,25.365,144.22,3.761904761904762,873,0.43
360680432757201A,100,500,7056,5137,1835,8,74.164,0.447,12.398,127.66,5.9523809523809526,953,0.364
360680432757201A,100,500,7056,2124,4848,8,26.777,0.332,40.161,116.767,2.4166666666666665,1174,0.489
360680432757201A,100,500,7056,3411,3561,8,46.213,0.685,25.31,112.634,3.619047619047619,844,0.404
360680432757201A,100,500,7056,4053,2919,8,56.099,0.896,18.613,115.981,4.488095238095238,649,0.356
360680432757201A,100,500,7056,3031,3941,8,39.877,0.489,30.482,124.16,3.0238095238095237,809,0.424
360680432757201A,100,500,7056,4166,2806,8,58.142,0.43,13.132,154.63,5.095238095238095,962,0.451
360680432757201A,100,500,7056,3824,3148,8,52.785,0.623,25.144,127.362,4.273809523809524,783,0.442
360680432757201A,100,500,7056,5506,1466,8,80.842,0.852,23.702,106.612,5.9523809523809526,746,0.414
360680432757201A,100,500,7056,3113,3859,8,40.573,0.637,34.725,167.072,3.0238095238095237,1006,0.478
360680432757201A,100,500,7056,3242,3730,8,43.529,0.744,24.399,173.894,3.4523809523809526,944,0.447
360680432757201A,100,500,7056,6190,782,8,88.811,0.589,38.456,119.687,5.9523809523809526,1136,0.485
360680432757201A,100,500,7056,4421,2551,8,62.195,0.198,23.957,91.838,5.095238095238095,795,0.389
360680432757201A,100,500,7056,3329,3643,8,45.643,0.208,41.254,129.456,3.511904761904762,1192,0.497
360680432757201A,100,500,7056,6217,755,8,89.588,0.539,29.495,123.254,5.9523809523809526,963,0.411
360680432757201A,100,500,7056,3917,3055,8,53.973,0.749,5.778,100.301,4.273809523809524,578,0.369
360680432757201A,100,500,7056,4685,2287,8,66.586,0.394,23.804,145.921,5.916666666666667,1501,0.375
360680432757201A,100,500,7056,1756,5216,8,21.895,0.564,25.419,121.91,1.880952380952381,719,0.442
360680432757201A,100,500,7056,4289,2683,8,61.858,0.428,5.483,139.736,5.095238095238095,707,0.379
360680432757201A,100,500,7056,1756,5216,8,21.024,0.229,7.182,148.729,1.880952380952381,644,0.623
360680432757201A,100,500,7056,2169,4803,8,27.145,0.679,13.679,178.818,2.4166666666666665,578,0.502
360680432757201A,100,500,7056,4500,2472,8,65.275,0.267,5.572,171.784,5.095238095238095,822,0.363
360680432757201A,100,500,7056,5050,1922,8,73.762,0.719,36.56,92.576,5.9523809523809526,852,0.411
360680432757201A,100,500,7056,3824,3148,8,52.833,0.775,19.611,105.069,4.273809523809524,720,0.353
360680432757201A,100,500,7056,4053,2919,8,56.579,0.601,24.692,133.524,4.488095238095238,854,0.437
360680432757201A,100,500,7056,1468,5504,8,16.458,0.378,38.829,108.233,1.880952380952381,939,0.465
360680432757201A,100,500,7056,2697,4275,8,35.647,0.19,27.601,91.037,2.4166666666666665,633,0.453
360680432757201A,100,500,7056,1756,5216,8,21.76,0.827,6.115,158.708,1.880952380952381,534,0.403
360680432757201A,100,500,7056,1960,5012,8,24.658,0.231,16.18,143.182,1.880952380952381,621,0.673
360680432757201A,100,500,7056,5449,1523,8,79.069,0.602,15.372,91.59,5.9523809523809526,722,0.386
360680432757201A,100,500,7056,5745,1227,8,82.956,0.314,26.868,132.054,5.9523809523809526,1245,0.406
360680432757201A,100,500,7056,4289,2683,8,61.407,0.885,21.815,146.451,5.095238095238095,732,0.41
360680432757201A,100,500,7056,1468,5504,8,16.232,0.596,29.286,139.8,1.880952380952381,885,0.459
360680432757201A,100,500,7056,3329,3643,8,45.456,0.438,26.807,103.141,3.511904761904762,750,0.409
360680432757201A,100,500,7056,2308,4664,8,30.098,0.27,24.553,106.226,2.4166666666666665,657,0.484
360680432757201A,100,500,7056,4477,2495,8,64.763,0.689,8.817,159.89,5.095238095238095,785,0.383
360680432757201A,100,500,7056,2697,4275,8,35.258,0.796,9.946,100.204,2.4166666666666665,673,0.368
360680432757201A,100,500,7056,4993,1979,8,72.27,0.184,25.743,100.276,5.9523809523809526,1181,0.389
360680432757201A,100,500,7056,5449,1523,8,79.911,0.656,8.979,90.875,5.9523809523809526,702,0.335
