run-id,N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_habitat_random,perceptual-range,matrix-permeability,mean_hab_neighbors,total_crossings,assess-top-sections
5852,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1413,0.488
1194,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1396,0.4
9152,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1385,0.484
5388,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1464,0.46
9511,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1281,0.432
2000,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1290,0.442
8532,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1579,0.415
7970,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1324,0.434
1573,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1613,0.394
3156,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1365,0.437
2957,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1462,0.472
2807,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1672,0.441
5186,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1313,0.471
1379,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1393,0.467
2472,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1356,0.395
6527,100,1000,7056,1600,5372,1,50,5,0.5,2.857142857142857,1610,0.433
1302,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1650,0.415
2217,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1263,0.424
8048,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1362,0.408
7747,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1352,0.386
7467,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1276,0.415
8648,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1358,0.412
5837,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1548,0.393
9836,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1469,0.383
4212,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1315,0.414
8503,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1342,0.434
5195,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1417,0.371
4802,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1445,0.424
3833,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1370,0.438
3626,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1396,0.403
1059,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1449,0.418
6642,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1378,0.448
9783,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1233,0.401
5145,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1427,0.398
8483,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1411,0.41
7423,100,1000,7056,1600,5372,1,50,5,0.6,2.857142857142857,1395,0.423
9920,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1415,0.333
5092,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1506,0.359
5532,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1235,0.356
1009,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1334,0.349
8411,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1341,0.389
3858,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1214,0.39
1103,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1155,0.411
7664,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1191,0.348
7482,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1446,0.333
5899,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1315,0.378
5349,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1511,0.337
6350,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1523,0.374
7664,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1192,0.406
7329,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1457,0.372
5901,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1193,0.417
1129,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1349,0.34
3342,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1331,0.398
4244,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1548,0.37
9872,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1455,0.39
6854,100,1000,7056,1600,5372,1,50,5,0.8,2.857142857142857,1269,0.368
1141,100,1000,7056,1600,5372,1,50,5,0.7,2.857142857142857,1188,0.381
5830,100,1000,7056,1600,5372,1,50,5,0.8,2.857142857142857,1040,0.362
9823,100,1000,7056,1600,5372,1,50,5,0.8,2.857142857142857,1301,0.368
5193,100,1000,7056,1600,5372,1,50,5,0.8,2.857142857142857,1224,0.339
6274,100,1000,7056,1600,5372,1,50,5,0.8,2.857142857142857,1338,0.353
