"run_id","habitat_patches"
"1541585D.asc","18"
"1541637B.asc","4"
"1542608E.asc","11"
"1542832C.asc","13"
"1543115B.asc","4"
"1545019B.asc","4"
"1546452C.asc","3"
"1547812B.asc","6"
"1548490A.asc","14"
"1550633C.asc","14"
"1554265E.asc","11"
"1558197A.asc","15"
"1560044C.asc","12"
"1560509B.asc","2"
"156345A.asc","14"
"1564064E.asc","12"
"1564488A.asc","8"
"1564583D.asc","12"
"1564657B.asc","7"
"1565401D.asc","3"
"1566247C.asc","13"
"156662D.asc","15"
"1566882E.asc","16"
"1566927D.asc","4"
"1567087E.asc","6"
"1569737A.asc","2"
"1570591C.asc","13"
"1571312B.asc","14"
"1574089D.asc","12"
"1576211A.asc","12"
"1578500D.asc","4"
"1579235E.asc","14"
"1581240E.asc","12"
"1581589D.asc","11"
"1583173A.asc","3"
"1585414D.asc","16"
"1586517D.asc","14"
"1587054D.asc","13"
"158790B.asc","2"
"158880C.asc","13"
"158960B.asc","15"
"1589731B.asc","12"
"1591717C.asc","9"
"1593508A.asc","12"
"1593911C.asc","3"
"159427D.asc","2"
"1595217E.asc","4"
"1595612E.asc","5"
"1595808A.asc","2"
"1597133C.asc","13"
"1597550D.asc","9"
"1604288A.asc","14"
"1604849A.asc","2"
"1605998E.asc","10"
"1606169E.asc","16"
"1606258B.asc","5"
"160711D.asc","16"
"1608204C.asc","3"
"1608266A.asc","3"
"1609633E.asc","8"
"1611318E.asc","14"
"1611930E.asc","14"
"1612320B.asc","5"
"1613218D.asc","12"
"1613761A.asc","15"
"1613968B.asc","17"
"1615245B.asc","4"
"1619326C.asc","12"
"1620381A.asc","15"
"1620925E.asc","9"
"162187D.asc","13"
"1623499D.asc","3"
"1624226E.asc","17"
"1624707A.asc","8"
"1624868B.asc","6"
"1628362C.asc","12"
"1628571C.asc","4"
"1629756B.asc","7"
"1629954B.asc","13"
"1631514A.asc","13"
"1631840A.asc","10"
"1632312C.asc","4"
"1637006A.asc","9"
"163742C.asc","11"
"1639039D.asc","14"
"1641921B.asc","4"
"1643522C.asc","6"
"1643584C.asc","13"
"1645571A.asc","11"
"1645739A.asc","6"
"1647263E.asc","14"
"1647696B.asc","11"
"164777B.asc","13"
"1650736A.asc","4"
"1650901B.asc","9"
"1651982D.asc","11"
"1654776E.asc","12"
"1654928A.asc","12"
"1654988C.asc","10"
"1655929E.asc","11"
"1656187A.asc","2"
"1657722B.asc","10"
"1658138B.asc","10"
"1658385A.asc","10"
"1658749C.asc","11"
"165902D.asc","17"
"1660343C.asc","10"
"1660410B.asc","6"
"1660652C.asc","14"
"1661023C.asc","5"
"1661954A.asc","12"
"1662089D.asc","13"
"1662769D.asc","12"
"1665114D.asc","10"
"1665587E.asc","2"
"1666416B.asc","2"
"1667019D.asc","12"
"1667823B.asc","14"
"1668617A.asc","5"
"1669858E.asc","11"
"1669889C.asc","14"
"1670012B.asc","8"
"167015C.asc","2"
"1671088A.asc","3"
"1671725D.asc","6"
"1672337C.asc","5"
"167290E.asc","11"
"1678132A.asc","15"
"167937D.asc","15"
"1679449D.asc","9"
"1681453A.asc","16"
"1682945A.asc","10"
"1683914B.asc","9"
"1686809C.asc","2"
"1687799D.asc","5"
"1688584E.asc","8"
"1688770D.asc","13"
"1690984C.asc","14"
"1691143B.asc","10"
"1691766B.asc","13"
"1694246C.asc","13"
"1694644E.asc","13"
"1697117C.asc","16"
"1697317E.asc","9"
"1698898C.asc","14"
"1699565C.asc","10"
"1699669A.asc","5"
"1701934B.asc","6"
"1702002A.asc","2"
"170215B.asc","2"
"1702665E.asc","2"
"1704385D.asc","8"
"1705357E.asc","17"
"1705770B.asc","14"
"1705958E.asc","3"
"1706409A.asc","16"
"1706702B.asc","11"
"1708373C.asc","11"
"1709112C.asc","9"
"1709930C.asc","5"
"1714331A.asc","3"
"1715036E.asc","13"
"1715541A.asc","12"
"1716521E.asc","14"
"1717201B.asc","14"
"1718366D.asc","6"
"172009B.asc","7"
"1720121C.asc","15"
"1722019B.asc","14"
"1722700D.asc","11"
"1722755E.asc","2"
"1723502E.asc","9"
"1727532B.asc","15"
"1730414B.asc","10"
"1731557D.asc","11"
"1731878C.asc","13"
"1733025C.asc","13"
"173402D.asc","18"
"1735631C.asc","13"
"1736138E.asc","3"
"1736687C.asc","11"
"17397B.asc","11"
