"","[run number]","proportion_of_habitat","matrix_permeability","perceptual_range","vision_angle","random-seed","[step]","total_crossings","assess_top_sections","siminputrow"
"211",1,68,74,12,123,1560180808,499,607,0.404,211
"212",1,84,87,9,139,1560180808,499,596,0.386,212
"213",1,42,78,39,178,1560180808,499,933,0.561,213
"214",1,53,50,29,114,1560180808,499,775,0.44,214
"215",1,55,47,23,137,1560180808,499,731,0.482,215
"216",1,14,90,26,147,1560180808,499,730,0.408,216
"217",1,87,49,34,175,1560180808,499,930,0.562,217
"218",1,19,22,10,130,1560180808,499,386,0.487,218
"219",1,11,74,24,147,1560180808,499,718,0.432,219
"220",1,46,44,13,118,1560180808,499,418,0.562,220
"221",1,52,90,9,167,1560180808,499,629,0.388,221
"222",1,14,72,30,167,1560180808,499,673,0.471,222
"223",1,10,27,41,166,1560180808,499,827,0.623,223
"224",1,17,21,23,113,1560180808,499,398,0.53,224
"225",1,42,33,32,156,1560180808,499,605,0.724,225
"226",1,73,26,7,100,1560180808,499,602,0.442,226
"227",1,50,27,23,113,1560180808,499,464,0.563,227
"228",1,52,54,23,169,1560180808,499,708,0.487,228
"229",1,85,69,37,158,1560180808,499,887,0.537,229
"230",1,34,89,11,150,1560180808,499,591,0.418,230
"231",1,45,33,20,119,1560180808,499,503,0.664,231
"232",1,56,54,42,139,1560180808,499,1011,0.509,232
"233",1,26,60,35,142,1560180808,499,806,0.51,233
"234",1,18,36,30,174,1560180808,499,758,0.764,234
"235",1,62,59,17,131,1560180808,499,713,0.403,235
"236",1,25,13,11,177,1560180808,499,76,0.763,236
"237",1,88,25,6,90,1560180808,499,546,0.383,237
"238",1,39,26,41,116,1560180808,499,732,0.568,238
"239",1,64,76,32,147,1560180808,499,843,0.428,239
"240",1,42,17,13,102,1560180808,499,385,0.618,240
"241",1,18,63,19,146,1560180808,499,531,0.476,241
"242",1,82,16,34,126,1560180808,499,874,0.535,242
"243",1,26,79,24,132,1560180808,499,678,0.432,243
"244",1,81,72,21,116,1560180808,499,635,0.406,244
"245",1,86,74,23,115,1560180808,499,660,0.377,245
"246",1,76,79,35,134,1560180808,499,885,0.475,246
"247",1,64,33,9,145,1560180808,499,563,0.496,247
"248",1,72,89,16,147,1560180808,499,566,0.413,248
"249",1,17,17,12,107,1560180808,499,335,0.418,249
"250",1,27,63,32,108,1560180808,499,728,0.427,250
"251",1,75,33,30,145,1560180808,499,698,0.456,251
"252",1,79,33,22,101,1560180808,499,685,0.435,252
"253",1,55,25,32,113,1560180808,499,927,0.45,253
"254",1,71,77,7,127,1560180808,499,568,0.375,254
"255",1,65,11,13,111,1560180808,499,651,0.57,255
"256",1,84,40,38,110,1560180808,499,835,0.456,256
"257",1,21,85,15,119,1560180808,499,602,0.372,257
"258",1,66,19,37,151,1560180808,499,920,0.485,258
"259",1,42,44,13,135,1560180808,499,412,0.58,259
"260",1,11,25,26,115,1560180808,499,494,0.53,260
"261",1,87,44,40,161,1560180808,499,962,0.518,261
"262",1,20,33,22,147,1560180808,499,560,0.563,262
"263",1,32,18,12,177,1560180808,499,491,0.935,263
"264",1,17,13,36,168,1560180808,499,356,0.604,264
"265",1,50,79,40,134,1560180808,499,995,0.499,265
"266",1,36,65,19,104,1560180808,499,533,0.424,266
"267",1,88,68,40,162,1560180808,499,1092,0.574,267
"268",1,11,19,9,124,1560180808,499,395,0.41,268
"269",1,46,52,29,158,1560180808,499,598,0.656,269
"270",1,64,60,25,131,1560180808,499,754,0.399,270
"271",1,18,25,24,108,1560180808,499,518,0.598,271
"272",1,15,69,39,108,1560180808,499,871,0.463,272
"273",1,67,76,26,167,1560180808,499,880,0.453,273
"274",1,15,12,20,168,1560180808,499,164,0.768,274
"275",1,57,39,24,93,1560180808,499,693,0.433,275
"276",1,84,71,19,105,1560180808,499,539,0.386,276
"277",1,18,70,16,97,1560180808,499,606,0.373,277
"278",1,25,82,33,136,1560180808,499,933,0.462,278
"279",1,12,28,31,99,1560180808,499,620,0.481,279
"280",1,50,12,19,112,1560180808,499,392,0.696,280
"281",1,20,39,35,159,1560180808,499,753,0.647,281
"282",1,55,62,42,103,1560180808,499,870,0.489,282
"283",1,81,40,21,131,1560180808,499,681,0.414,283
"284",1,88,65,17,128,1560180808,499,699,0.416,284
"285",1,38,39,13,97,1560180808,499,542,0.491,285
"286",1,18,80,38,174,1560180808,499,914,0.525,286
"287",1,48,22,13,172,1560180808,499,427,0.852,287
"288",1,61,66,36,111,1560180808,499,885,0.442,288
"289",1,29,54,15,101,1560180808,499,608,0.439,289
"290",1,32,25,15,177,1560180808,499,450,0.882,290
"291",1,71,36,8,112,1560180808,499,570,0.456,291
"292",1,59,44,5,170,1560180808,499,510,0.484,292
"293",1,37,67,19,146,1560180808,499,505,0.43,293
"294",1,25,86,8,158,1560180808,499,566,0.38,294
"295",1,24,32,13,109,1560180808,499,368,0.446,295
"296",1,41,11,17,122,1560180808,499,407,0.769,296
"297",1,47,43,42,119,1560180808,499,815,0.528,297
"298",1,67,76,16,128,1560180808,499,619,0.397,298
"299",1,35,26,38,163,1560180808,499,728,0.717,299
"300",1,15,85,26,127,1560180808,499,687,0.441,300
"301",1,25,24,16,167,1560180808,499,155,0.774,301
"302",1,71,86,36,178,1560180808,499,895,0.497,302
"303",1,16,50,6,110,1560180808,499,541,0.375,303
"304",1,86,12,39,113,1560180808,499,922,0.507,304
"305",1,40,88,41,163,1560180808,499,1118,0.555,305
"306",1,83,36,36,147,1560180808,499,827,0.481,306
"307",1,82,45,29,173,1560180808,499,826,0.481,307
"308",1,13,80,30,164,1560180808,499,768,0.482,308
"309",1,80,74,24,98,1560180808,499,687,0.412,309
"310",1,64,19,10,117,1560180808,499,555,0.539,310
"311",1,65,41,17,159,1560180808,499,675,0.493,311
"312",1,46,12,27,148,1560180808,499,439,0.856,312
"313",1,57,45,26,108,1560180808,499,734,0.432,313
"314",1,30,18,31,92,1560180808,499,650,0.56,314
"315",1,89,49,17,129,1560180808,499,514,0.444,315
"316",1,44,62,9,158,1560180808,499,502,0.504,316
"317",1,49,16,8,168,1560180808,499,242,0.806,317
"318",1,78,19,40,120,1560180808,499,971,0.519,318
"319",1,85,29,21,134,1560180808,499,658,0.453,319
"320",1,89,57,24,121,1560180808,499,689,0.406,320
"321",1,49,57,26,130,1560180808,499,577,0.496,321
"322",1,11,22,6,134,1560180808,499,403,0.39,322
"323",1,69,19,8,112,1560180808,499,558,0.516,323
"324",1,38,85,8,149,1560180808,499,549,0.399,324
"325",1,15,34,34,143,1560180808,499,660,0.532,325
"326",1,63,16,9,108,1560180808,499,556,0.504,326
"327",1,59,35,16,166,1560180808,499,685,0.53,327
"328",1,17,70,8,177,1560180808,499,466,0.367,328
"329",1,14,66,27,135,1560180808,499,724,0.423,329
