run-id,N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_habitat_random,perceptual-range,matrix-permeability,mean_hab_neighbors,total_crossings,assess-top-sections
1211,100,1000,7056,780,6192,random,10,20,0.6,0.5,1106,0.481
4519,100,1000,7056,771,6201,random,10,5,0.9,0.7142857142857143,1272,0.347
6198,100,1000,7056,660,6312,random,10,10,0.9,0.5119047619047619,1335,0.347
4067,100,1000,7056,612,6360,random,10,15,0.8,0,1154,0.38
9296,100,1000,7056,700,6272,random,10,20,0.7,2,2143,0.451
3217,100,1000,7056,656,6316,random,10,5,1,0,1232,0.364
7432,100,1000,7056,682,6290,random,10,10,1,0.023809523809523808,1391,0.381
3310,100,1000,7056,880,6092,random,10,15,0.9,1.0714285714285714,1385,0.433
7137,100,1000,7056,772,6200,random,10,20,0.8,0,1578,0.4
5739,100,1000,7056,2186,4786,random,30,5,0.1,1.8571428571428572,1347,0.848
1359,100,1000,7056,1718,5254,random,30,10,0.1,1.4404761904761905,671,0.897
4863,100,1000,7056,869,6103,random,10,15,1,0,1384,0.392
8907,100,1000,7056,515,6457,random,10,20,0.9,0.07142857142857142,1299,0.402
7801,100,1000,7056,2116,4856,random,30,5,0.2,0.6785714285714286,413,0.683
1838,100,1000,7056,2194,4778,random,30,10,0.2,2.4761904761904763,1456,0.68
1687,100,1000,7056,2521,4451,random,30,15,0.1,2.2976190476190474,891,0.895
5340,100,1000,7056,790,6182,random,10,20,1,0.8690476190476191,1330,0.419
4904,100,1000,7056,2284,4688,random,30,5,0.3,2.1547619047619047,1258,0.689
4599,100,1000,7056,2231,4741,random,30,10,0.3,2.2261904761904763,1378,0.69
9479,100,1000,7056,1973,4999,random,30,20,0.1,1.1904761904761905,767,0.952
1704,100,1000,7056,1927,5045,random,30,15,0.2,2.2261904761904763,1087,0.63
4376,100,1000,7056,2157,4815,random,30,5,0.4,1.5357142857142858,994,0.534
4536,100,1000,7056,2058,4914,random,30,10,0.4,1.9047619047619047,1314,0.755
5579,100,1000,7056,2504,4468,random,30,20,0.2,0.9285714285714286,494,0.785
1099,100,1000,7056,2221,4751,random,30,15,0.3,2.9285714285714284,2120,0.645
7161,100,1000,7056,2219,4753,random,30,5,0.5,1.9404761904761905,858,0.491
5229,100,1000,7056,2058,4914,random,30,10,0.5,1.5833333333333333,1082,0.532
1862,100,1000,7056,1946,5026,random,30,15,0.4,0.8452380952380952,727,0.722
6352,100,1000,7056,2314,4658,random,30,20,0.3,1.2142857142857142,1985,0.935
3283,100,1000,7056,1854,5118,random,30,5,0.6,1.0357142857142858,1015,0.368
9913,100,1000,7056,1831,5141,random,30,15,0.5,0.32142857142857145,803,0.441
9166,100,1000,7056,2085,4887,random,30,10,0.6,1.5714285714285714,934,0.486
9489,100,1000,7056,2649,4323,random,30,20,0.4,1.9047619047619047,1039,0.734
7279,100,1000,7056,2327,4645,random,30,5,0.7,1.369047619047619,1095,0.383
5836,100,1000,7056,1937,5035,random,30,10,0.7,2.0714285714285716,1574,0.421
2398,100,1000,7056,1808,5164,random,30,15,0.6,1.4285714285714286,1239,0.451
8939,100,1000,7056,1775,5197,random,30,20,0.5,3.0357142857142856,2061,0.45
9914,100,1000,7056,2285,4687,random,30,5,0.8,2.1785714285714284,1157,0.389
8440,100,1000,7056,1955,5017,random,30,15,0.7,1.880952380952381,1678,0.476
