N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,7056,3763,3209,8,57,62,9,115,509,0.436
100,500,7056,1614,5358,8,20,39,24,100,474,0.435
100,500,7056,5753,1219,8,83,13,32,121,792,0.503
100,500,7056,3828,3144,8,58,26,30,150,346,0.616
100,500,7056,3535,3437,8,54,22,33,158,374,0.706
100,500,7056,984,5988,8,12,47,7,111,571,0.385
100,500,7056,4743,2229,8,67,42,20,123,624,0.425
100,500,7056,4366,2606,8,64,74,41,144,987,0.486
100,500,7056,2832,4140,8,41,50,36,176,650,0.623
100,500,7056,4953,2019,8,70,72,17,158,432,0.447
100,500,7056,953,6019,8,11,89,13,171,639,0.387
100,500,7056,886,6086,8,10,20,25,102,413,0.506
100,500,7056,4301,2671,8,63,32,39,139,737,0.602
100,500,7056,1331,5641,8,16,44,40,162,676,0.578
100,500,7056,6234,738,8,89,77,12,121,622,0.357
100,500,7056,1539,5433,8,18,27,23,156,155,0.574
100,500,7056,4135,2837,8,61,48,37,131,772,0.521
100,500,7056,5321,1651,8,76,38,14,97,673,0.425
100,500,7056,4624,2348,8,66,50,34,108,832,0.422
100,500,7056,3117,3855,8,48,22,19,112,514,0.527
100,500,7056,1331,5641,8,16,73,35,97,660,0.408
100,500,7056,5397,1575,8,78,46,36,137,917,0.481
100,500,7056,3326,3646,8,50,33,31,101,475,0.478
100,500,7056,3503,3469,8,53,74,5,178,571,0.406
100,500,7056,3055,3917,8,44,22,41,95,659,0.53
100,500,7056,2671,4301,8,37,50,10,175,373,0.501
100,500,7056,2605,4367,8,36,71,38,102,750,0.441
100,500,7056,5687,1285,8,81,49,21,152,689,0.476
100,500,7056,1778,5194,8,23,83,41,121,973,0.479
100,500,7056,4743,2229,8,67,64,28,139,751,0.434
100,500,7056,3078,3894,8,47,89,17,107,618,0.393
100,500,7056,2296,4676,8,32,78,23,135,546,0.451
100,500,7056,2782,4190,8,40,85,16,105,578,0.394
100,500,7056,5588,1384,8,80,13,41,106,1022,0.485
100,500,7056,1614,5358,8,20,54,33,142,685,0.514
100,500,7056,1256,5716,8,15,24,37,178,295,0.583
100,500,7056,1546,5426,8,19,85,20,131,633,0.408
100,500,7056,5321,1651,8,76,89,40,165,1090,0.512
100,500,7056,3076,3896,8,46,30,35,173,371,0.639
100,500,7056,2782,4190,8,40,13,22,147,335,0.69
100,500,7056,3076,3896,8,46,54,8,143,438,0.466
100,500,7056,1539,5433,8,18,24,8,171,185,0.514
100,500,7056,2671,4301,8,37,19,39,168,378,0.643
100,500,7056,2411,4561,8,34,11,37,96,565,0.488
100,500,7056,4792,2180,8,68,69,29,134,685,0.477
100,500,7056,4301,2671,8,63,38,37,134,657,0.553
100,500,7056,4914,2058,8,69,57,41,135,1071,0.57
100,500,7056,4075,2897,8,60,15,42,178,385,0.652
100,500,7056,1662,5310,8,21,12,38,158,429,0.681
100,500,7056,3409,3563,8,51,24,6,167,337,0.614
100,500,7056,1331,5641,8,16,33,32,121,476,0.475
100,500,7056,4743,2229,8,67,59,20,150,626,0.481
100,500,7056,1927,5045,8,26,82,29,98,703,0.437
100,500,7056,2170,4802,8,31,38,20,173,520,0.498
100,500,7056,5248,1724,8,75,68,11,172,492,0.449
100,500,7056,6151,821,8,87,65,16,136,700,0.424
100,500,7056,3763,3209,8,57,25,10,91,438,0.47
100,500,7056,2411,4561,8,34,25,30,139,370,0.562
100,500,7056,3714,3258,8,56,59,18,150,427,0.438
100,500,7056,4448,2524,8,65,36,22,164,383,0.65
100,500,7056,5849,1123,8,84,32,6,170,570,0.414
100,500,7056,953,6019,8,11,67,29,165,652,0.469
100,500,7056,6314,658,8,90,29,6,158,594,0.407
100,500,7056,2372,4600,8,33,27,32,165,386,0.661
100,500,7056,1927,5045,8,26,81,23,141,608,0.387
100,500,7056,953,6019,8,11,26,40,150,503,0.521
100,500,7056,4914,2058,8,69,22,15,158,440,0.652
100,500,7056,3828,3144,8,58,42,23,164,332,0.578
100,500,7056,3535,3437,8,54,75,30,159,683,0.523
100,500,7056,1982,4990,8,27,57,37,126,826,0.467
100,500,7056,3055,3917,8,44,33,21,160,348,0.621
100,500,7056,2736,4236,8,39,86,29,142,732,0.48
100,500,7056,3274,3698,8,49,86,34,142,769,0.43
100,500,7056,4953,2019,8,70,29,32,107,666,0.515
100,500,7056,5707,1265,8,82,55,30,112,748,0.456
100,500,7056,5163,1809,8,74,68,21,129,624,0.431
100,500,7056,2296,4676,8,32,60,12,164,534,0.399
100,500,7056,1778,5194,8,23,38,21,117,491,0.45
100,500,7056,1982,4990,8,27,21,19,144,350,0.549
100,500,7056,4792,2180,8,68,29,35,157,752,0.617
100,500,7056,6151,821,8,87,55,12,91,639,0.382
100,500,7056,2736,4236,8,39,73,20,92,609,0.358
100,500,7056,2372,4600,8,33,41,14,152,421,0.494
100,500,7056,4743,2229,8,67,77,24,150,651,0.436
100,500,7056,3427,3545,8,52,85,8,103,505,0.41
100,500,7056,1539,5433,8,18,49,18,141,374,0.436
100,500,7056,4366,2606,8,64,51,36,151,697,0.532
100,500,7056,1721,5251,8,22,41,16,102,583,0.432
100,500,7056,1778,5194,8,23,82,8,95,601,0.371
100,500,7056,5687,1285,8,81,32,22,115,672,0.496
100,500,7056,4743,2229,8,67,40,28,157,725,0.523
100,500,7056,1614,5358,8,20,53,16,117,474,0.405
100,500,7056,2011,4961,8,28,65,27,118,681,0.465
100,500,7056,2782,4190,8,40,24,24,110,472,0.525
100,500,7056,3828,3144,8,58,90,6,148,511,0.358
100,500,7056,4792,2180,8,68,73,17,91,593,0.374
100,500,7056,3612,3360,8,55,63,10,146,574,0.436
100,500,7056,3326,3646,8,50,12,20,150,236,0.691
100,500,7056,5063,1909,8,72,43,33,103,806,0.468
100,500,7056,3409,3563,8,51,72,30,157,641,0.441
100,500,7056,4366,2606,8,64,30,7,124,389,0.553
100,500,7056,1331,5641,8,16,66,9,127,586,0.363
100,500,7056,1060,5912,8,13,66,15,154,534,0.404
100,500,7056,1546,5426,8,19,43,34,155,431,0.564
100,500,7056,5687,1285,8,81,72,10,169,645,0.416
100,500,7056,1721,5251,8,22,67,17,112,515,0.394
100,500,7056,3326,3646,8,50,86,9,167,546,0.423
100,500,7056,6188,784,8,88,37,37,105,902,0.463
100,500,7056,3973,2999,8,59,60,7,114,568,0.424
100,500,7056,2863,4109,8,42,42,24,112,536,0.483
100,500,7056,984,5988,8,12,83,30,103,720,0.389
100,500,7056,6188,784,8,88,16,5,112,639,0.397
100,500,7056,2736,4236,8,39,12,10,104,463,0.641
100,500,7056,3012,3960,8,43,81,20,143,621,0.406
100,500,7056,1927,5045,8,26,89,11,171,569,0.411
100,500,7056,1331,5641,8,16,28,23,166,265,0.615
100,500,7056,2114,4858,8,29,48,35,125,702,0.491
100,500,7056,1889,5083,8,25,20,13,165,358,0.595
100,500,7056,4366,2606,8,64,48,21,162,424,0.533
100,500,7056,3409,3563,8,51,43,10,121,540,0.491
100,500,7056,1829,5143,8,24,25,8,90,518,0.452
100,500,7056,2782,4190,8,40,85,39,115,928,0.461
100,500,7056,1256,5716,8,15,45,28,119,523,0.426
100,500,7056,4743,2229,8,67,63,22,157,585,0.453
100,500,7056,2782,4190,8,40,87,31,110,843,0.403
100,500,7056,1982,4990,8,27,76,18,158,694,0.399
100,500,7056,2605,4367,8,36,87,15,96,542,0.389
100,500,7056,3012,3960,8,43,58,13,97,632,0.383
100,500,7056,984,5988,8,12,45,18,108,593,0.368
100,500,7056,6234,738,8,89,82,13,113,658,0.371
100,500,7056,3973,2999,8,59,24,18,136,368,0.666
100,500,7056,3763,3209,8,57,74,20,116,492,0.415
100,500,7056,2412,4560,8,35,10,23,123,298,0.54
100,500,7056,3274,3698,8,49,41,5,110,445,0.474
100,500,7056,3612,3360,8,55,85,16,145,511,0.386
100,500,7056,5687,1285,8,81,36,28,122,825,0.455
100,500,7056,4075,2897,8,60,37,10,131,467,0.531
100,500,7056,4135,2837,8,61,58,30,139,572,0.474
100,500,7056,2411,4561,8,34,86,29,149,696,0.451
100,500,7056,1927,5045,8,26,83,21,121,584,0.409
100,500,7056,3828,3144,8,58,42,24,162,349,0.53
100,500,7056,6234,738,8,89,82,24,125,832,0.399
100,500,7056,2782,4190,8,40,83,7,131,583,0.37
100,500,7056,2782,4190,8,40,77,21,167,708,0.41
100,500,7056,2782,4190,8,40,84,24,143,679,0.421
100,500,7056,3409,3563,8,51,88,10,169,629,0.393
100,500,7056,6151,821,8,87,18,10,94,667,0.406
100,500,7056,5753,1219,8,83,75,23,108,695,0.414
100,500,7056,1889,5083,8,25,26,17,95,578,0.45
100,500,7056,4366,2606,8,64,41,7,95,492,0.472
100,500,7056,2832,4140,8,41,58,15,122,528,0.424
100,500,7056,5397,1575,8,78,44,17,122,727,0.437
100,500,7056,953,6019,8,11,64,12,126,580,0.379
100,500,7056,5364,1608,8,77,46,21,115,727,0.399
100,500,7056,5397,1575,8,78,40,31,140,897,0.448
100,500,7056,1136,5836,8,14,60,30,158,681,0.435
100,500,7056,2671,4301,8,37,48,28,168,554,0.583
100,500,7056,6151,821,8,87,20,35,123,963,0.472
100,500,7056,2736,4236,8,39,64,19,169,531,0.456
100,500,7056,2832,4140,8,41,39,22,113,457,0.479
100,500,7056,2863,4109,8,42,37,38,134,718,0.55
100,500,7056,1614,5358,8,20,86,6,90,545,0.369
100,500,7056,5364,1608,8,77,18,8,180,633,0.48
100,500,7056,1927,5045,8,26,21,9,96,577,0.452
100,500,7056,2114,4858,8,29,11,17,140,374,0.642
100,500,7056,3973,2999,8,59,68,21,99,600,0.392
100,500,7056,5248,1724,8,75,80,10,150,561,0.405
100,500,7056,2170,4802,8,31,31,24,152,470,0.581
100,500,7056,3274,3698,8,49,27,38,155,443,0.628
100,500,7056,5163,1809,8,74,86,8,131,642,0.377
100,500,7056,2114,4858,8,29,57,14,133,494,0.397
100,500,7056,6234,738,8,89,18,37,163,1109,0.592
100,500,7056,4792,2180,8,68,37,7,179,481,0.52
100,500,7056,5588,1384,8,80,59,16,144,620,0.447
100,500,7056,2412,4560,8,35,86,42,136,1131,0.542
100,500,7056,4075,2897,8,60,42,41,143,849,0.568
100,500,7056,3503,3469,8,53,82,29,132,756,0.407
