"","[run number]","matrix_permeability","perceptual_range","vision_angle","scenario","random-seed","[step]","total_crossings","assess_top_sections","siminputrow"
"207",1,47,22,100,5,-741671208,499,586,0.404,207
"208",1,35,5,175,3,-741671208,499,338,0.399,208
"209",1,84,18,104,3,-741671208,499,554,0.399,209
"210",1,82,11,178,5,-741671208,499,461,0.397,210
"211",1,23,12,161,5,-741671208,499,247,0.502,211
"212",1,14,26,113,4,-741671208,499,1303,0.389,212
"213",1,44,30,145,5,-741671208,499,787,0.436,213
"214",1,76,12,175,4,-741671208,499,627,0.439,214
"215",1,76,29,156,3,-741671208,499,799,0.524,215
"216",1,84,18,102,5,-741671208,499,647,0.352,216
"217",1,23,19,169,7,-741671208,499,32,0.813,217
"218",1,60,10,135,5,-741671208,499,526,0.384,218
"219",1,88,30,176,3,-741671208,499,777,0.476,219
"220",1,76,37,130,6,-741671208,499,994,0.437,220
"221",1,26,16,111,7,-741671208,499,228,0.509,221
"222",1,15,20,139,4,-741671208,499,1597,0.46,222
"223",1,82,39,147,4,-741671208,499,1122,0.506,223
"224",1,50,29,110,1,-741671208,499,1211,0.628,224
"225",1,39,41,126,3,-741671208,499,1069,0.738,225
"226",1,58,22,119,7,-741671208,499,471,0.437,226
"227",1,10,22,142,4,-741671208,499,1891,0.436,227
"228",1,40,30,136,5,-741671208,499,767,0.435,228
"229",1,49,15,173,6,-741671208,499,661,0.54,229
"230",1,76,11,122,6,-741671208,499,628,0.369,230
"231",1,78,19,125,4,-741671208,499,807,0.406,231
"232",1,72,12,148,6,-741671208,499,678,0.355,232
"233",1,74,36,129,4,-741671208,499,1095,0.439,233
"234",1,15,26,119,5,-741671208,499,655,0.432,234
"235",1,20,39,129,3,-741671208,499,1052,0.875,235
"236",1,59,7,120,5,-741671208,499,467,0.368,236
"237",1,11,20,158,5,-741671208,499,353,0.62,237
"238",1,89,32,111,5,-741671208,499,785,0.422,238
"239",1,51,34,106,5,-741671208,499,711,0.425,239
"240",1,61,11,114,2,-741671208,499,583,0.398,240
"241",1,85,5,114,2,-741671208,499,674,0.35,241
"242",1,51,17,178,4,-741671208,499,1064,0.444,242
"243",1,68,31,123,3,-741671208,499,750,0.561,243
"244",1,12,37,129,3,-741671208,499,1003,0.909,244
