run-id,N_individuals,steps,landscape_area,habitat_area,matrix_area,type_scenario,proportion_habitat_random,perceptual-range,matrix-permeability,mean_hab_neighbors,total_crossings,assess-top-sections
7598,100,1000,7056,1407,5565,random,20,5,0.6,0.5714285714285714,1089,0.415
6419,100,1000,7056,1749,5223,random,20,5,0.6,0.19047619047619047,985,0.407
3247,100,1000,7056,1301,5671,random,20,5,0.6,0.5,1097,0.388
4481,100,1000,7056,1271,5701,random,20,5,0.6,1.5119047619047619,1201,0.43
2685,100,1000,7056,1277,5695,random,20,5,0.6,2.0357142857142856,1533,0.484
3358,100,1000,7056,1420,5552,random,20,5,0.6,2.5476190476190474,1570,0.433
5386,100,1000,7056,1465,5507,random,20,5,0.6,0.25,956,0.45
9262,100,1000,7056,1563,5409,random,20,5,0.6,0,1121,0.376
9047,100,1000,7056,1215,5757,random,20,5,0.6,0.75,1182,0.464
3068,100,1000,7056,1428,5544,random,20,5,0.6,0.8928571428571429,1164,0.398
2848,100,1000,7056,1338,5634,random,20,5,0.6,0.32142857142857145,973,0.393
9444,100,1000,7056,1594,5378,random,20,5,0.6,0.9880952380952381,1194,0.442
2675,100,1000,7056,1174,5798,random,20,5,0.6,0,926,0.382
3932,100,1000,7056,1384,5588,random,20,5,0.7,1.5238095238095237,1410,0.471
9121,100,1000,7056,1156,5816,random,20,5,0.7,0.5238095238095238,1215,0.36
9873,100,1000,7056,1395,5577,random,20,5,0.7,0.8095238095238095,1190,0.415
5668,100,1000,7056,1338,5634,random,20,5,0.7,1.6666666666666667,1339,0.38
3813,100,1000,7056,1232,5740,random,20,5,0.7,0.5357142857142857,1155,0.357
1533,100,1000,7056,1593,5379,random,20,5,0.7,0.6428571428571429,1248,0.373
6010,100,1000,7056,1260,5712,random,20,5,0.7,1.6785714285714286,1306,0.373
3754,100,1000,7056,1387,5585,random,20,5,0.6,0.5714285714285714,1016,0.429
4383,100,1000,7056,1344,5628,random,20,5,0.7,2.130952380952381,1422,0.39
8437,100,1000,7056,1212,5760,random,20,5,0.7,1.1428571428571428,1342,0.425
3617,100,1000,7056,1576,5396,random,20,5,0.7,1.6785714285714286,1348,0.369
8165,100,1000,7056,1509,5463,random,20,5,0.7,0.47619047619047616,1095,0.357
6360,100,1000,7056,1689,5283,random,20,5,0.7,2.0238095238095237,1129,0.355
